#
# AEG Box Test Suite by I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin is 
# licensed under a Creative Commons Attribution 4.0 International License.
# Based on a work at https://bitbucket.org/uoyaeg/aegboxts.
#
# If you use or make derivatives of the test suite please attribute the original
# work to I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin, Applied
# Electromagnetics Group, Department of Electronics, University of York, UK.
#
#       f(Hz)      Re(e11)      Im(e11) 
  6.81156e+09   3.2475e-11 -3.54909e-11
  6.85176e+09  3.24438e-11 -3.54359e-11
  6.89196e+09  3.24146e-11 -3.53799e-11
  6.93216e+09  3.23874e-11 -3.53231e-11
  6.97236e+09  3.23622e-11 -3.52659e-11
  7.01256e+09  3.23389e-11 -3.52082e-11
  7.05276e+09  3.23174e-11 -3.51505e-11
  7.09296e+09  3.22977e-11 -3.50927e-11
  7.13317e+09  3.22798e-11 -3.50353e-11
  7.17337e+09  3.22636e-11 -3.49783e-11
  7.21357e+09  3.22491e-11 -3.49219e-11
  7.25377e+09  3.22361e-11 -3.48664e-11
  7.29397e+09  3.22247e-11 -3.48119e-11
  7.33417e+09  3.22148e-11 -3.47587e-11
  7.37437e+09  3.22063e-11 -3.47069e-11
  7.41457e+09  3.21992e-11 -3.46568e-11
  7.45477e+09  3.21935e-11 -3.46082e-11
  7.49497e+09   3.2189e-11 -3.45611e-11
  7.53518e+09  3.21858e-11 -3.45157e-11
  7.57538e+09  3.21837e-11 -3.44717e-11
  7.61558e+09  3.21828e-11 -3.44292e-11
  7.65578e+09   3.2183e-11 -3.43882e-11
  7.69598e+09  3.21841e-11 -3.43487e-11
  7.73618e+09  3.21863e-11 -3.43106e-11
  7.77638e+09  3.21894e-11 -3.42738e-11
  7.81658e+09  3.21934e-11 -3.42385e-11
  7.85678e+09  3.21981e-11 -3.42045e-11
  7.89698e+09  3.22037e-11 -3.41719e-11
  7.93719e+09    3.221e-11 -3.41406e-11
  7.97739e+09  3.22169e-11 -3.41105e-11
  8.01759e+09  3.22245e-11 -3.40818e-11
  8.05779e+09  3.22326e-11 -3.40542e-11
  8.09799e+09  3.22412e-11 -3.40279e-11
  8.13819e+09  3.22503e-11 -3.40028e-11
  8.17839e+09  3.22598e-11 -3.39789e-11
  8.21859e+09  3.22696e-11 -3.39561e-11
  8.25879e+09  3.22798e-11 -3.39345e-11
  8.29899e+09  3.22902e-11  -3.3914e-11
   8.3392e+09  3.23008e-11 -3.38945e-11
   8.3794e+09  3.23115e-11 -3.38761e-11
   8.4196e+09  3.23224e-11 -3.38588e-11
   8.4598e+09  3.23333e-11 -3.38423e-11
      8.5e+09  3.23441e-11 -3.38267e-11
