#
# This work is licensed under the Creative Commons 
# Attribution-NoDerivatives 4.0 International License. 
# To view a copy of this license, visit 
# http://creativecommons.org/licenses/by-nd/4.0/.
#
#      f(MHz)    AF (dB/m) 
  2.13573e+09      46.0395
  2.14097e+09      46.0236
  2.14622e+09      46.0131
  2.15147e+09      46.0035
  2.15672e+09      45.9926
  2.16196e+09      45.9672
  2.16721e+09      45.9389
  2.17246e+09      45.9074
   2.1777e+09      45.8788
  2.18295e+09       45.849
   2.1882e+09       45.814
  2.19344e+09      45.7817
  2.19869e+09      45.7578
  2.20394e+09      45.7307
  2.20918e+09      45.6892
  2.21443e+09      45.6472
  2.21968e+09      45.6102
  2.22492e+09      45.5824
  2.23017e+09      45.5476
  2.23542e+09      45.5139
  2.24066e+09      45.4792
  2.24591e+09      45.4322
  2.25116e+09      45.3812
   2.2564e+09       45.345
  2.26165e+09      45.3272
   2.2669e+09      45.3061
  2.27214e+09      45.2685
  2.27739e+09      45.2188
  2.28264e+09      45.1713
  2.28788e+09      45.1266
  2.29313e+09      45.0937
  2.29838e+09      45.0763
  2.30362e+09      45.0609
  2.30887e+09      45.0264
  2.31412e+09      44.9755
  2.31936e+09      44.9337
  2.32461e+09      44.9079
  2.32986e+09      44.8854
   2.3351e+09      44.8565
  2.34035e+09      44.8187
   2.3456e+09      44.7788
  2.35084e+09      44.7454
  2.35609e+09      44.7129
  2.36134e+09      44.6844
  2.36658e+09       44.661
  2.37183e+09      44.6347
  2.37708e+09      44.5981
  2.38232e+09      44.5598
  2.38757e+09      44.5316
  2.39282e+09       44.514
  2.39806e+09      44.4951
  2.40331e+09      44.4685
  2.40856e+09      44.4432
   2.4138e+09      44.4238
  2.41905e+09      44.4026
   2.4243e+09      44.3801
  2.42954e+09      44.3596
  2.43479e+09      44.3492
  2.44004e+09      44.3466
  2.44528e+09      44.3425
  2.45053e+09      44.3374
  2.45578e+09      44.3279
  2.46102e+09      44.3153
  2.46627e+09      44.3032
  2.47152e+09      44.2931
  2.47676e+09      44.2848
  2.48201e+09      44.2804
  2.48726e+09      44.2749
   2.4925e+09      44.2751
  2.49775e+09      44.2766
    2.503e+09      44.2708
  2.50824e+09      44.2578
  2.51349e+09      44.2411
  2.51874e+09      44.2239
  2.52398e+09      44.2147
  2.52923e+09       44.217
  2.53448e+09      44.2165
  2.53972e+09      44.2074
  2.54497e+09      44.1802
  2.55022e+09      44.1488
  2.55546e+09      44.1319
  2.56071e+09      44.1303
  2.56596e+09      44.1326
   2.5712e+09      44.1263
  2.57645e+09      44.1082
   2.5817e+09        44.08
  2.58695e+09      44.0492
  2.59219e+09       44.023
  2.59744e+09      44.0052
  2.60269e+09      43.9993
  2.60793e+09      43.9892
  2.61318e+09      43.9739
  2.61843e+09      43.9614
  2.62367e+09      43.9509
  2.62892e+09      43.9359
  2.63417e+09      43.9226
  2.63941e+09      43.9177
  2.64466e+09      43.9152
  2.64991e+09       43.911
  2.65515e+09       43.904
   2.6604e+09      43.9045
  2.66565e+09      43.9085
  2.67089e+09      43.9055
  2.67614e+09      43.9076
  2.68139e+09       43.918
  2.68663e+09       43.926
  2.69188e+09      43.9282
  2.69713e+09      43.9318
  2.70237e+09      43.9413
  2.70762e+09      43.9522
  2.71287e+09      43.9542
  2.71811e+09      43.9548
  2.72336e+09      43.9559
  2.72861e+09      43.9496
  2.73385e+09      43.9418
   2.7391e+09      43.9351
  2.74435e+09      43.9385
  2.74959e+09      43.9477
  2.75484e+09       43.957
  2.76009e+09      43.9558
  2.76533e+09      43.9466
  2.77058e+09      43.9314
  2.77583e+09      43.9176
  2.78107e+09      43.9135
  2.78632e+09      43.9158
  2.79157e+09       43.922
  2.79681e+09      43.9256
  2.80206e+09      43.9223
  2.80731e+09      43.9086
  2.81256e+09      43.9004
   2.8178e+09      43.9023
  2.82305e+09      43.9118
   2.8283e+09      43.9272
  2.83354e+09      43.9467
  2.83879e+09      43.9637
  2.84404e+09      43.9626
  2.84928e+09      43.9468
  2.85453e+09      43.9323
  2.85978e+09      43.9293
  2.86502e+09      43.9359
  2.87027e+09      43.9497
  2.87552e+09      43.9671
  2.88076e+09      43.9708
  2.88601e+09      43.9562
  2.89126e+09      43.9311
   2.8965e+09      43.9157
  2.90175e+09      43.9081
    2.907e+09      43.9018
  2.91224e+09      43.9008
  2.91749e+09      43.8942
  2.92274e+09      43.8685
  2.92798e+09      43.8301
  2.93323e+09      43.7948
  2.93848e+09      43.7698
  2.94372e+09      43.7626
  2.94897e+09      43.7657
  2.95422e+09      43.7656
  2.95946e+09      43.7522
  2.96471e+09      43.7218
  2.96996e+09      43.6911
   2.9752e+09      43.6788
  2.98045e+09      43.6765
   2.9857e+09      43.6794
  2.99094e+09      43.6815
  2.99619e+09      43.6786
  3.00144e+09      43.6718
  3.00668e+09      43.6682
  3.01193e+09      43.6757
  3.01718e+09      43.6951
  3.02242e+09       43.712
  3.02767e+09       43.727
  3.03292e+09      43.7416
  3.03816e+09      43.7531
  3.04341e+09      43.7687
  3.04866e+09      43.7809
   3.0539e+09      43.7958
  3.05915e+09      43.8175
   3.0644e+09      43.8441
  3.06964e+09      43.8682
  3.07489e+09       43.893
  3.08014e+09      43.9103
  3.08538e+09      43.9232
  3.09063e+09      43.9427
  3.09588e+09      43.9617
  3.10112e+09      43.9831
  3.10637e+09      44.0028
  3.11162e+09      44.0188
  3.11686e+09      44.0355
  3.12211e+09      44.0521
  3.12736e+09      44.0702
   3.1326e+09      44.0892
  3.13785e+09      44.1094
   3.1431e+09       44.128
  3.14834e+09      44.1428
  3.15359e+09       44.159
  3.15884e+09        44.18
  3.16408e+09       44.204
  3.16933e+09      44.2233
  3.17458e+09      44.2433
  3.17982e+09      44.2618
  3.18507e+09      44.2798
  3.19032e+09      44.2966
  3.19556e+09      44.3159
  3.20081e+09      44.3403
  3.20606e+09      44.3621
   3.2113e+09      44.3836
  3.21655e+09      44.4052
   3.2218e+09      44.4309
  3.22705e+09       44.453
  3.23229e+09      44.4669
  3.23754e+09      44.4758
  3.24279e+09      44.4876
  3.24803e+09      44.5041
  3.25328e+09      44.5206
  3.25853e+09      44.5422
  3.26377e+09       44.557
  3.26902e+09      44.5652
  3.27427e+09      44.5641
  3.27951e+09       44.557
  3.28476e+09      44.5537
  3.29001e+09      44.5625
  3.29525e+09      44.5754
   3.3005e+09      44.5876
  3.30575e+09      44.5955
  3.31099e+09       44.592
  3.31624e+09      44.5841
  3.32149e+09      44.5727
  3.32673e+09      44.5627
  3.33198e+09      44.5671
  3.33723e+09      44.5841
  3.34247e+09      44.5991
  3.34772e+09      44.6071
  3.35297e+09       44.602
  3.35821e+09      44.5908
  3.36346e+09      44.5823
  3.36871e+09      44.5817
  3.37395e+09      44.5951
   3.3792e+09      44.6248
  3.38445e+09      44.6488
  3.38969e+09      44.6526
  3.39494e+09      44.6434
  3.40019e+09      44.6364
  3.40543e+09      44.6403
  3.41068e+09      44.6617
  3.41593e+09      44.6988
  3.42117e+09       44.739
  3.42642e+09       44.764
  3.43167e+09      44.7708
  3.43691e+09      44.7726
  3.44216e+09      44.7864
  3.44741e+09      44.8107
  3.45266e+09       44.839
   3.4579e+09      44.8726
  3.46315e+09      44.9026
   3.4684e+09      44.9235
  3.47364e+09      44.9382
  3.47889e+09      44.9559
  3.48414e+09       44.974
  3.48938e+09      44.9931
  3.49463e+09      45.0137
  3.49988e+09      45.0371
  3.50512e+09      45.0594
  3.51037e+09      45.0754
  3.51562e+09      45.0844
  3.52086e+09      45.0892
  3.52611e+09      45.0946
  3.53136e+09       45.105
   3.5366e+09      45.1179
  3.54185e+09      45.1323
   3.5471e+09      45.1435
  3.55234e+09      45.1504
  3.55759e+09      45.1539
  3.56284e+09      45.1575
  3.56808e+09      45.1635
  3.57333e+09      45.1709
  3.57858e+09       45.181
  3.58382e+09      45.1948
  3.58907e+09      45.2105
  3.59432e+09      45.2222
  3.59956e+09      45.2335
  3.60481e+09      45.2474
  3.61006e+09      45.2631
   3.6153e+09      45.2735
  3.62055e+09      45.2865
   3.6258e+09      45.3055
  3.63104e+09      45.3237
  3.63629e+09       45.337
  3.64154e+09      45.3509
  3.64678e+09      45.3697
  3.65203e+09      45.3911
  3.65728e+09      45.4084
  3.66252e+09      45.4257
  3.66777e+09      45.4452
  3.67302e+09      45.4632
  3.67826e+09      45.4753
  3.68351e+09      45.4871
  3.68876e+09      45.4993
    3.694e+09      45.5113
  3.69925e+09      45.5244
   3.7045e+09      45.5378
  3.70974e+09      45.5556
  3.71499e+09      45.5691
  3.72024e+09      45.5789
  3.72548e+09      45.5875
  3.73073e+09      45.5959
  3.73598e+09      45.6065
  3.74122e+09      45.6206
  3.74647e+09      45.6357
  3.75172e+09      45.6497
  3.75696e+09      45.6587
  3.76221e+09      45.6684
  3.76746e+09       45.686
   3.7727e+09      45.7078
  3.77795e+09      45.7324
   3.7832e+09       45.755
  3.78844e+09      45.7732
  3.79369e+09      45.7937
  3.79894e+09       45.818
  3.80418e+09      45.8447
  3.80943e+09      45.8743
  3.81468e+09      45.9027
  3.81992e+09      45.9279
  3.82517e+09      45.9533
  3.83042e+09      45.9759
  3.83566e+09      46.0013
  3.84091e+09      46.0332
  3.84616e+09       46.066
   3.8514e+09      46.0953
  3.85665e+09      46.1183
   3.8619e+09       46.141
  3.86715e+09      46.1574
  3.87239e+09      46.1714
  3.87764e+09      46.1853
  3.88289e+09      46.2032
  3.88813e+09      46.2222
  3.89338e+09      46.2366
  3.89863e+09      46.2467
  3.90387e+09      46.2571
  3.90912e+09      46.2698
  3.91437e+09      46.2744
  3.91961e+09      46.2819
  3.92486e+09      46.2902
  3.93011e+09      46.2986
  3.93535e+09      46.3056
   3.9406e+09      46.3152
  3.94585e+09      46.3248
  3.95109e+09      46.3275
  3.95634e+09      46.3272
  3.96159e+09       46.333
  3.96683e+09      46.3489
  3.97208e+09      46.3676
  3.97733e+09      46.3866
  3.98257e+09      46.4007
  3.98782e+09      46.4101
  3.99307e+09      46.4156
  3.99831e+09      46.4229
  4.00356e+09      46.4371
  4.00881e+09      46.4554
  4.01405e+09      46.4725
   4.0193e+09      46.4867
  4.02455e+09      46.4943
  4.02979e+09      46.5018
  4.03504e+09       46.515
  4.04029e+09      46.5302
  4.04553e+09      46.5438
  4.05078e+09       46.559
  4.05603e+09      46.5727
  4.06127e+09      46.5797
  4.06652e+09      46.5811
  4.07177e+09      46.5834
  4.07701e+09      46.5913
  4.08226e+09      46.5966
  4.08751e+09      46.6023
  4.09276e+09      46.6069
    4.098e+09      46.6151
  4.10325e+09      46.6202
   4.1085e+09       46.625
  4.11374e+09      46.6337
  4.11899e+09      46.6418
  4.12424e+09      46.6469
  4.12948e+09      46.6507
  4.13473e+09      46.6558
  4.13998e+09      46.6622
  4.14522e+09      46.6754
  4.15047e+09      46.6907
  4.15572e+09      46.7057
  4.16096e+09      46.7192
  4.16621e+09       46.729
  4.17146e+09        46.74
   4.1767e+09       46.759
  4.18195e+09      46.7848
   4.1872e+09      46.8139
  4.19244e+09      46.8393
  4.19769e+09        46.86
  4.20294e+09       46.878
  4.20818e+09      46.8986
  4.21343e+09      46.9226
  4.21868e+09      46.9492
  4.22392e+09      46.9804
  4.22917e+09      47.0084
  4.23442e+09      47.0316
  4.23966e+09      47.0573
  4.24491e+09      47.0874
  4.25016e+09      47.1148
   4.2554e+09      47.1403
  4.26065e+09      47.1635
   4.2659e+09       47.182
  4.27114e+09      47.2052
  4.27639e+09       47.229
  4.28164e+09      47.2508
  4.28688e+09      47.2701
  4.29213e+09      47.2855
  4.29738e+09      47.2996
  4.30262e+09      47.3179
  4.30787e+09      47.3428
  4.31312e+09      47.3727
  4.31836e+09      47.4023
  4.32361e+09      47.4229
  4.32886e+09      47.4338
   4.3341e+09      47.4448
  4.33935e+09      47.4615
   4.3446e+09      47.4853
  4.34984e+09      47.5145
  4.35509e+09      47.5433
  4.36034e+09      47.5641
  4.36558e+09      47.5818
  4.37083e+09      47.6004
  4.37608e+09      47.6209
  4.38132e+09      47.6498
  4.38657e+09       47.681
  4.39182e+09      47.7092
  4.39706e+09      47.7313
  4.40231e+09      47.7482
  4.40756e+09      47.7633
   4.4128e+09      47.7789
  4.41805e+09      47.7908
   4.4233e+09       47.806
  4.42854e+09      47.8256
  4.43379e+09      47.8456
  4.43904e+09      47.8653
  4.44428e+09      47.8815
  4.44953e+09      47.8913
  4.45478e+09      47.8971
  4.46002e+09      47.9027
  4.46527e+09      47.9097
  4.47052e+09      47.9212
  4.47576e+09      47.9335
  4.48101e+09      47.9421
  4.48626e+09      47.9478
   4.4915e+09      47.9518
  4.49675e+09      47.9592
    4.502e+09      47.9699
  4.50724e+09      47.9825
  4.51249e+09      47.9951
  4.51774e+09      48.0068
  4.52299e+09       48.015
  4.52823e+09      48.0209
  4.53348e+09      48.0331
  4.53873e+09      48.0477
  4.54397e+09      48.0587
  4.54922e+09      48.0681
  4.55447e+09      48.0793
  4.55971e+09      48.0936
  4.56496e+09      48.1107
  4.57021e+09      48.1308
  4.57545e+09      48.1514
   4.5807e+09      48.1694
  4.58595e+09      48.1806
  4.59119e+09      48.1898
  4.59644e+09      48.2057
  4.60169e+09      48.2249
  4.60693e+09      48.2451
  4.61218e+09      48.2664
  4.61743e+09      48.2868
  4.62267e+09      48.3005
  4.62792e+09      48.3118
  4.63317e+09      48.3239
  4.63841e+09      48.3404
  4.64366e+09      48.3592
  4.64891e+09      48.3779
  4.65415e+09      48.3969
   4.6594e+09      48.4149
  4.66465e+09      48.4262
  4.66989e+09      48.4319
  4.67514e+09      48.4403
  4.68039e+09       48.453
  4.68563e+09      48.4695
  4.69088e+09      48.4885
  4.69613e+09      48.5069
  4.70137e+09      48.5209
  4.70662e+09      48.5268
  4.71187e+09      48.5311
  4.71711e+09      48.5362
  4.72236e+09       48.547
  4.72761e+09      48.5638
  4.73285e+09      48.5793
   4.7381e+09      48.5913
  4.74335e+09      48.5977
   4.7486e+09      48.6006
  4.75384e+09      48.6044
  4.75909e+09      48.6122
  4.76434e+09      48.6207
  4.76958e+09      48.6306
  4.77483e+09      48.6376
  4.78008e+09      48.6394
  4.78532e+09      48.6425
  4.79057e+09      48.6472
  4.79582e+09      48.6523
  4.80106e+09      48.6565
  4.80631e+09      48.6597
  4.81156e+09      48.6607
   4.8168e+09      48.6621
  4.82205e+09      48.6647
   4.8273e+09      48.6716
  4.83254e+09      48.6795
  4.83779e+09      48.6815
  4.84304e+09      48.6811
  4.84828e+09      48.6809
  4.85353e+09      48.6836
  4.85878e+09      48.6866
  4.86402e+09      48.6918
  4.86927e+09      48.6974
  4.87452e+09      48.7013
  4.87976e+09      48.7032
  4.88501e+09      48.7047
  4.89026e+09      48.7091
   4.8955e+09       48.715
  4.90075e+09        48.72
    4.906e+09      48.7229
  4.91124e+09      48.7286
  4.91649e+09      48.7379
  4.92174e+09      48.7475
  4.92698e+09      48.7545
  4.93223e+09       48.759
  4.93748e+09      48.7639
  4.94272e+09      48.7717
  4.94797e+09       48.782
  4.95322e+09      48.7959
  4.95846e+09      48.8135
  4.96371e+09      48.8308
  4.96896e+09      48.8428
   4.9742e+09      48.8542
  4.97945e+09      48.8676
   4.9847e+09      48.8836
  4.98994e+09      48.9006
  4.99519e+09      48.9178
  5.00044e+09      48.9376
  5.00568e+09      48.9574
  5.01093e+09      48.9751
  5.01618e+09      48.9893
  5.02142e+09      49.0048
  5.02667e+09      49.0205
  5.03192e+09      49.0401
  5.03716e+09      49.0597
  5.04241e+09      49.0766
  5.04766e+09      49.0891
   5.0529e+09      49.0979
  5.05815e+09       49.108
   5.0634e+09       49.119
  5.06864e+09      49.1309
  5.07389e+09      49.1427
  5.07914e+09      49.1541
  5.08438e+09      49.1631
  5.08963e+09      49.1724
  5.09488e+09      49.1834
  5.10012e+09      49.1937
  5.10537e+09      49.2006
  5.11062e+09      49.2033
  5.11586e+09      49.2069
  5.12111e+09      49.2163
  5.12636e+09      49.2296
   5.1316e+09      49.2412
  5.13685e+09      49.2511
   5.1421e+09      49.2577
  5.14734e+09      49.2607
  5.15259e+09      49.2663
  5.15784e+09      49.2778
  5.16309e+09      49.2938
  5.16833e+09      49.3105
  5.17358e+09      49.3202
  5.17883e+09      49.3238
  5.18407e+09      49.3273
  5.18932e+09      49.3333
  5.19457e+09      49.3443
  5.19981e+09      49.3613
  5.20506e+09      49.3815
  5.21031e+09      49.3939
  5.21555e+09      49.3992
   5.2208e+09      49.4009
  5.22605e+09      49.4035
  5.23129e+09      49.4134
  5.23654e+09      49.4296
  5.24179e+09      49.4463
  5.24703e+09        49.46
  5.25228e+09      49.4698
  5.25753e+09      49.4735
  5.26277e+09      49.4792
  5.26802e+09      49.4893
