#
# AEG Box Test Suite by I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin is 
# licensed under a Creative Commons Attribution 4.0 International License.
# Based on a work at https://bitbucket.org/uoyaeg/aegboxts.
#
# If you use or make derivatives of the test suite please attribute the original
# work to I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin, Applied
# Electromagnetics Group, Department of Electronics, University of York, UK.
#
#     f (MHz)   A (dB m^2) 
  1.15719e+09     -31.8317
   1.1575e+09     -31.7585
  1.15781e+09      -31.693
  1.15812e+09     -31.6352
  1.15844e+09     -31.5752
  1.15875e+09     -31.5205
  1.15906e+09     -31.4834
  1.15938e+09      -31.445
  1.15969e+09     -31.4187
     1.16e+09     -31.3914
  1.16031e+09      -31.376
  1.16062e+09     -31.3722
  1.16094e+09     -31.3635
  1.16125e+09     -31.3605
  1.16156e+09     -31.3589
  1.16188e+09     -31.3682
  1.16219e+09     -31.3829
   1.1625e+09     -31.3747
  1.16281e+09     -31.3848
  1.16312e+09     -31.3831
  1.16344e+09     -31.3794
  1.16375e+09     -31.3749
  1.16406e+09     -31.3648
  1.16438e+09     -31.3504
  1.16469e+09     -31.3388
    1.165e+09     -31.3181
  1.16531e+09     -31.2918
  1.16562e+09      -31.268
  1.16594e+09     -31.2261
  1.16625e+09     -31.1879
  1.16656e+09     -31.1454
  1.16688e+09     -31.1074
  1.16719e+09     -31.0605
   1.1675e+09     -31.0051
  1.16781e+09     -30.9592
  1.16812e+09     -30.9118
  1.16844e+09     -30.8588
  1.16875e+09     -30.8189
  1.16906e+09      -30.776
  1.16938e+09     -30.7382
  1.16969e+09     -30.7063
     1.17e+09     -30.6769
  1.17031e+09     -30.6561
  1.17062e+09     -30.6452
  1.17094e+09     -30.6355
  1.17125e+09     -30.6317
  1.17156e+09     -30.6394
  1.17188e+09     -30.6527
  1.17219e+09     -30.6762
   1.1725e+09     -30.7123
  1.17281e+09      -30.735
  1.17312e+09     -30.7652
  1.17344e+09     -30.8014
  1.17375e+09     -30.8575
  1.17406e+09     -30.8999
  1.17438e+09     -30.9467
  1.17469e+09      -30.992
    1.175e+09     -31.0314
  1.17531e+09     -31.0895
  1.17562e+09     -31.1284
  1.17594e+09     -31.1641
  1.17625e+09     -31.2104
  1.17656e+09     -31.2438
  1.17688e+09     -31.2657
  1.17719e+09     -31.2805
   1.1775e+09     -31.2996
  1.17781e+09     -31.3053
  1.17812e+09     -31.3116
  1.17844e+09     -31.3196
  1.17875e+09      -31.312
  1.17906e+09     -31.3018
  1.17938e+09     -31.2868
  1.17969e+09     -31.2634
     1.18e+09     -31.2461
  1.18031e+09     -31.2154
  1.18062e+09     -31.1925
  1.18094e+09     -31.1695
  1.18125e+09     -31.1343
  1.18156e+09     -31.1176
  1.18188e+09     -31.0835
  1.18219e+09     -31.0616
   1.1825e+09      -31.049
  1.18281e+09     -31.0442
  1.18312e+09     -31.0454
  1.18344e+09     -31.0487
  1.18375e+09     -31.0541
  1.18406e+09     -31.0882
  1.18438e+09     -31.1133
  1.18469e+09     -31.1454
    1.185e+09     -31.1807
  1.18531e+09      -31.232
  1.18562e+09     -31.2756
  1.18594e+09     -31.3265
  1.18625e+09      -31.377
  1.18656e+09     -31.4319
  1.18688e+09     -31.4714
  1.18719e+09      -31.527
   1.1875e+09     -31.5788
  1.18781e+09     -31.6243
  1.18812e+09     -31.6749
  1.18844e+09     -31.7029
  1.18875e+09     -31.7364
  1.18906e+09     -31.7744
  1.18938e+09     -31.7868
  1.18969e+09      -31.806
     1.19e+09     -31.8111
  1.19031e+09     -31.8239
  1.19062e+09     -31.8208
  1.19094e+09     -31.8089
  1.19125e+09     -31.7882
  1.19156e+09     -31.7717
  1.19188e+09     -31.7583
  1.19219e+09     -31.7366
   1.1925e+09     -31.7103
  1.19281e+09     -31.6923
  1.19312e+09     -31.6695
  1.19344e+09     -31.6459
  1.19375e+09     -31.6284
  1.19406e+09     -31.6235
  1.19438e+09     -31.6263
  1.19469e+09      -31.622
    1.195e+09     -31.6172
  1.19531e+09       -31.63
  1.19562e+09     -31.6453
  1.19594e+09     -31.6802
  1.19625e+09     -31.7112
  1.19656e+09     -31.7428
  1.19688e+09     -31.7816
  1.19719e+09     -31.8214
   1.1975e+09     -31.8767
  1.19781e+09     -31.9329
  1.19812e+09     -31.9853
  1.19844e+09      -32.039
  1.19875e+09     -32.0954
  1.19906e+09      -32.139
  1.19938e+09     -32.2019
  1.19969e+09     -32.2385
      1.2e+09     -32.2973
  1.20031e+09      -32.334
  1.20062e+09     -32.3642
  1.20094e+09     -32.3883
  1.20125e+09     -32.4168
  1.20156e+09     -32.4432
  1.20188e+09      -32.448
  1.20219e+09     -32.4665
   1.2025e+09     -32.4759
  1.20281e+09     -32.4747
  1.20312e+09     -32.4761
  1.20344e+09     -32.4768
  1.20375e+09     -32.4659
  1.20406e+09     -32.4629
  1.20438e+09     -32.4394
  1.20469e+09     -32.4212
    1.205e+09     -32.4116
  1.20531e+09      -32.403
  1.20562e+09     -32.3839
  1.20594e+09     -32.3823
  1.20625e+09     -32.3607
  1.20656e+09     -32.3601
  1.20688e+09     -32.3514
  1.20719e+09     -32.3552
   1.2075e+09     -32.3704
  1.20781e+09      -32.368
  1.20812e+09     -32.3841
  1.20844e+09     -32.3962
  1.20875e+09     -32.4298
  1.20906e+09     -32.4497
  1.20938e+09     -32.4772
  1.20969e+09     -32.4999
     1.21e+09     -32.5306
  1.21031e+09     -32.5774
  1.21062e+09     -32.6092
  1.21094e+09     -32.6412
  1.21125e+09     -32.6711
  1.21156e+09     -32.6973
  1.21188e+09     -32.7376
  1.21219e+09     -32.7651
   1.2125e+09     -32.7964
  1.21281e+09     -32.8102
  1.21312e+09     -32.8287
  1.21344e+09     -32.8349
  1.21375e+09     -32.8518
  1.21406e+09     -32.8583
  1.21438e+09     -32.8501
  1.21469e+09     -32.8474
    1.215e+09     -32.8309
  1.21531e+09     -32.8167
  1.21562e+09     -32.8028
  1.21594e+09      -32.779
  1.21625e+09     -32.7451
  1.21656e+09     -32.7138
  1.21688e+09     -32.6818
  1.21719e+09     -32.6453
   1.2175e+09     -32.5993
  1.21781e+09     -32.5561
  1.21812e+09     -32.5211
  1.21844e+09     -32.4761
  1.21875e+09     -32.4278
  1.21906e+09      -32.391
  1.21938e+09     -32.3389
  1.21969e+09     -32.3109
     1.22e+09     -32.2762
  1.22031e+09     -32.2326
  1.22062e+09     -32.2137
  1.22094e+09     -32.1884
  1.22125e+09      -32.164
  1.22156e+09     -32.1442
  1.22188e+09     -32.1288
  1.22219e+09     -32.1259
   1.2225e+09     -32.1138
  1.22281e+09     -32.1112
  1.22312e+09     -32.1003
  1.22344e+09     -32.0984
  1.22375e+09      -32.099
  1.22406e+09     -32.0958
  1.22438e+09     -32.0965
  1.22469e+09     -32.0994
    1.225e+09     -32.0954
  1.22531e+09     -32.0847
  1.22562e+09     -32.0764
  1.22594e+09     -32.0622
  1.22625e+09      -32.041
  1.22656e+09     -32.0216
  1.22688e+09     -31.9874
  1.22719e+09     -31.9438
   1.2275e+09     -31.9158
  1.22781e+09     -31.8586
  1.22812e+09     -31.8153
  1.22844e+09     -31.7565
  1.22875e+09     -31.6946
  1.22906e+09     -31.6188
  1.22938e+09     -31.5521
  1.22969e+09       -31.47
     1.23e+09     -31.4009
  1.23031e+09     -31.3193
  1.23062e+09     -31.2475
  1.23094e+09     -31.1758
  1.23125e+09     -31.0995
  1.23156e+09      -31.029
  1.23188e+09     -30.9537
  1.23219e+09     -30.8833
   1.2325e+09     -30.8124
  1.23281e+09     -30.7666
  1.23312e+09     -30.7012
  1.23344e+09     -30.6376
  1.23375e+09     -30.5922
  1.23406e+09      -30.545
  1.23438e+09     -30.5015
  1.23469e+09     -30.4717
    1.235e+09     -30.4276
  1.23531e+09     -30.4005
  1.23562e+09      -30.368
  1.23594e+09     -30.3458
  1.23625e+09     -30.3194
  1.23656e+09     -30.2894
  1.23688e+09     -30.2613
  1.23719e+09     -30.2369
   1.2375e+09     -30.2161
  1.23781e+09     -30.1952
  1.23812e+09      -30.171
  1.23844e+09     -30.1569
  1.23875e+09     -30.1394
  1.23906e+09     -30.1375
  1.23938e+09     -30.1344
  1.23969e+09     -30.1474
     1.24e+09     -30.1654
  1.24031e+09     -30.1945
  1.24062e+09     -30.2184
  1.24094e+09     -30.2692
  1.24125e+09     -30.3205
  1.24156e+09     -30.3883
  1.24188e+09     -30.4593
  1.24219e+09     -30.5465
   1.2425e+09     -30.6468
  1.24281e+09     -30.7429
  1.24312e+09      -30.855
  1.24344e+09     -30.9675
  1.24375e+09     -31.1029
  1.24406e+09     -31.2276
  1.24438e+09     -31.3674
  1.24469e+09     -31.5056
    1.245e+09     -31.6579
  1.24531e+09     -31.7757
  1.24562e+09     -31.9372
  1.24594e+09     -32.0839
  1.24625e+09     -32.2198
  1.24656e+09     -32.3595
  1.24688e+09     -32.4955
  1.24719e+09      -32.635
   1.2475e+09     -32.7722
  1.24781e+09     -32.8971
  1.24812e+09     -33.0215
  1.24844e+09     -33.1481
  1.24875e+09     -33.2477
  1.24906e+09     -33.3545
  1.24938e+09     -33.4544
  1.24969e+09     -33.5551
     1.25e+09     -33.6249
  1.25031e+09     -33.7141
  1.25062e+09     -33.7764
  1.25094e+09     -33.8423
  1.25125e+09        -33.9
  1.25156e+09     -33.9506
  1.25188e+09     -33.9932
  1.25219e+09     -34.0208
   1.2525e+09     -34.0515
  1.25281e+09     -34.0711
  1.25312e+09     -34.0926
  1.25344e+09     -34.1195
  1.25375e+09     -34.1307
  1.25406e+09     -34.1291
  1.25438e+09     -34.1549
  1.25469e+09     -34.1679
    1.255e+09     -34.1762
  1.25531e+09     -34.2008
  1.25562e+09     -34.2161
  1.25594e+09     -34.2283
  1.25625e+09     -34.2634
  1.25656e+09     -34.3105
  1.25688e+09     -34.3333
  1.25719e+09     -34.3892
   1.2575e+09     -34.4408
  1.25781e+09     -34.4914
  1.25812e+09     -34.5637
  1.25844e+09     -34.6323
  1.25875e+09      -34.718
  1.25906e+09     -34.7881
  1.25938e+09     -34.8769
  1.25969e+09     -34.9793
     1.26e+09     -35.0737
  1.26031e+09     -35.1708
  1.26062e+09      -35.286
  1.26094e+09     -35.3882
  1.26125e+09     -35.4976
  1.26156e+09     -35.5925
  1.26188e+09     -35.7063
  1.26219e+09     -35.8047
   1.2625e+09     -35.9126
  1.26281e+09     -36.0081
  1.26312e+09     -36.1038
  1.26344e+09     -36.1997
  1.26375e+09     -36.2865
  1.26406e+09     -36.4028
  1.26438e+09     -36.5001
  1.26469e+09     -36.5761
    1.265e+09     -36.6734
  1.26531e+09     -36.7552
  1.26562e+09     -36.8488
  1.26594e+09     -36.9473
  1.26625e+09     -37.0328
  1.26656e+09     -37.1268
  1.26688e+09      -37.203
  1.26719e+09     -37.3326
   1.2675e+09     -37.4252
  1.26781e+09      -37.541
  1.26812e+09     -37.6611
  1.26844e+09     -37.7768
  1.26875e+09     -37.9054
  1.26906e+09     -38.0352
  1.26938e+09     -38.1809
  1.26969e+09      -38.327
     1.27e+09      -38.481
  1.27031e+09     -38.6278
  1.27062e+09     -38.7853
  1.27094e+09     -38.9116
  1.27125e+09     -39.0668
  1.27156e+09     -39.1914
  1.27188e+09     -39.3181
  1.27219e+09     -39.4299
   1.2725e+09      -39.526
  1.27281e+09     -39.6113
  1.27312e+09     -39.6944
  1.27344e+09     -39.7303
  1.27375e+09     -39.7616
  1.27406e+09     -39.7786
  1.27438e+09     -39.7766
  1.27469e+09     -39.7424
    1.275e+09      -39.689
  1.27531e+09     -39.6076
  1.27562e+09      -39.556
  1.27594e+09     -39.3879
  1.27625e+09     -39.2965
  1.27656e+09     -39.1325
  1.27688e+09     -38.9528
  1.27719e+09     -38.7695
   1.2775e+09     -38.5758
  1.27781e+09     -38.3611
  1.27812e+09     -38.1577
  1.27844e+09     -37.9429
  1.27875e+09     -37.7115
  1.27906e+09     -37.4828
  1.27938e+09     -37.2524
  1.27969e+09     -37.0136
     1.28e+09     -36.7953
  1.28031e+09     -36.5729
