#
# AEG Box Test Suite by I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin is 
# licensed under a Creative Commons Attribution 4.0 International License.
# Based on a work at https://bitbucket.org/uoyaeg/aegboxts.
#
# If you use or make derivatives of the test suite please attribute the original
# work to I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin, Applied
# Electromagnetics Group, Department of Electronics, University of York, UK.
#
#     f (MHz)   A (dB m^2) 
  1.12812e+09     -20.2306
  1.12844e+09     -20.2404
  1.12875e+09     -20.2462
  1.12906e+09     -20.2485
  1.12938e+09     -20.2444
  1.12969e+09     -20.2413
     1.13e+09     -20.2317
  1.13031e+09     -20.2215
  1.13062e+09     -20.2091
  1.13094e+09     -20.1911
  1.13125e+09     -20.1739
  1.13156e+09     -20.1629
  1.13188e+09     -20.1474
  1.13219e+09     -20.1335
   1.1325e+09      -20.114
  1.13281e+09     -20.0999
  1.13312e+09     -20.0872
  1.13344e+09      -20.078
  1.13375e+09     -20.0681
  1.13406e+09     -20.0657
  1.13438e+09     -20.0641
  1.13469e+09     -20.0668
    1.135e+09     -20.0758
  1.13531e+09     -20.0897
  1.13562e+09     -20.1102
  1.13594e+09     -20.1344
  1.13625e+09     -20.1661
  1.13656e+09     -20.1979
  1.13688e+09     -20.2344
  1.13719e+09     -20.2741
   1.1375e+09     -20.3205
  1.13781e+09     -20.3606
  1.13812e+09     -20.3995
  1.13844e+09     -20.4448
  1.13875e+09     -20.4846
  1.13906e+09     -20.5236
  1.13938e+09     -20.5606
  1.13969e+09     -20.5958
     1.14e+09     -20.6264
  1.14031e+09     -20.6529
  1.14062e+09     -20.6742
  1.14094e+09     -20.6959
  1.14125e+09     -20.7077
  1.14156e+09     -20.7162
  1.14188e+09      -20.722
  1.14219e+09     -20.7243
   1.1425e+09     -20.7231
  1.14281e+09     -20.7134
  1.14312e+09       -20.71
  1.14344e+09      -20.701
  1.14375e+09     -20.6864
  1.14406e+09     -20.6761
  1.14438e+09     -20.6708
  1.14469e+09      -20.666
    1.145e+09     -20.6636
  1.14531e+09     -20.6638
  1.14562e+09     -20.6736
  1.14594e+09     -20.6884
  1.14625e+09     -20.7093
  1.14656e+09     -20.7352
  1.14688e+09     -20.7662
  1.14719e+09     -20.8108
   1.1475e+09     -20.8535
  1.14781e+09     -20.9039
  1.14812e+09     -20.9588
  1.14844e+09     -21.0171
  1.14875e+09     -21.0774
  1.14906e+09     -21.1362
  1.14938e+09     -21.1943
  1.14969e+09     -21.2497
     1.15e+09     -21.3077
