#
# AEG Box Test Suite by I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin is 
# licensed under a Creative Commons Attribution 4.0 International License.
# Based on a work at https://bitbucket.org/uoyaeg/aegboxts.
#
# If you use or make derivatives of the test suite please attribute the original
# work to I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin, Applied
# Electromagnetics Group, Department of Electronics, University of York, UK.
#
#     f (MHz)   A (dB m^2) 
  1.11875e+09     -39.0113
  1.11906e+09     -39.0383
  1.11938e+09     -39.0489
  1.11969e+09     -39.1078
     1.12e+09     -39.1945
  1.12031e+09     -39.2542
  1.12062e+09       -39.38
  1.12094e+09     -39.5907
  1.12125e+09     -39.8356
  1.12156e+09     -40.1089
  1.12188e+09       -40.36
  1.12219e+09     -40.5533
   1.1225e+09     -40.7137
  1.12281e+09     -40.7777
  1.12312e+09     -40.8616
  1.12344e+09     -40.9008
  1.12375e+09     -40.9639
  1.12406e+09     -41.0348
  1.12438e+09     -41.0251
  1.12469e+09     -41.0749
    1.125e+09     -41.1678
  1.12531e+09      -41.222
  1.12562e+09     -41.2776
  1.12594e+09     -41.3373
  1.12625e+09     -41.4563
  1.12656e+09     -41.4987
  1.12688e+09     -41.5541
  1.12719e+09     -41.6035
   1.1275e+09     -41.7114
  1.12781e+09     -41.7571
  1.12812e+09     -41.8194
  1.12844e+09     -41.8712
  1.12875e+09     -41.9426
  1.12906e+09     -41.9891
  1.12938e+09     -42.0263
  1.12969e+09     -42.0997
     1.13e+09     -42.1522
  1.13031e+09     -42.1887
  1.13062e+09     -42.2253
  1.13094e+09     -42.2785
  1.13125e+09     -42.3122
  1.13156e+09      -42.346
  1.13188e+09     -42.3881
  1.13219e+09      -42.414
   1.1325e+09     -42.4751
  1.13281e+09     -42.5223
  1.13312e+09     -42.5328
  1.13344e+09     -42.5687
  1.13375e+09     -42.6265
  1.13406e+09      -42.694
  1.13438e+09       -42.73
  1.13469e+09     -42.7951
    1.135e+09     -42.8535
  1.13531e+09     -42.9219
  1.13562e+09     -42.9883
  1.13594e+09     -43.0952
  1.13625e+09     -43.1424
  1.13656e+09     -43.2598
  1.13688e+09     -43.2991
  1.13719e+09     -43.4017
   1.1375e+09     -43.4733
  1.13781e+09     -43.5878
  1.13812e+09      -43.681
  1.13844e+09     -43.7386
  1.13875e+09     -43.8452
  1.13906e+09     -43.9146
  1.13938e+09     -43.9966
  1.13969e+09     -44.1073
     1.14e+09     -44.1502
  1.14031e+09     -44.2738
  1.14062e+09     -44.2721
  1.14094e+09     -44.3659
  1.14125e+09      -44.415
  1.14156e+09     -44.4372
  1.14188e+09      -44.507
  1.14219e+09     -44.5501
   1.1425e+09     -44.6017
  1.14281e+09     -44.5931
  1.14312e+09     -44.5851
  1.14344e+09     -44.6617
  1.14375e+09     -44.6509
  1.14406e+09     -44.6517
  1.14438e+09     -44.6689
  1.14469e+09     -44.7171
    1.145e+09     -44.7442
  1.14531e+09     -44.7628
  1.14562e+09     -44.7398
  1.14594e+09     -44.8143
  1.14625e+09     -44.8225
  1.14656e+09     -44.8619
  1.14688e+09     -44.8844
  1.14719e+09     -44.8763
   1.1475e+09     -44.9621
  1.14781e+09     -45.0411
  1.14812e+09     -45.1074
  1.14844e+09     -45.1739
  1.14875e+09     -45.2096
  1.14906e+09      -45.322
  1.14938e+09     -45.3234
