#
# This work is licensed under the Creative Commons 
# Attribution-NoDerivatives 4.0 International License. 
# To view a copy of this license, visit 
# http://creativecommons.org/licenses/by-nd/4.0/.
#
#       f(Hz)      Re(Z11)      Im(Z11)      Re(Z12)      Im(Z12)      Re(Z21)      Im(Z21)      Re(Z22)      Im(Z22) 
  5.87588e+09     0.472112    -0.561989   -0.0469864      1.21086   -0.0469864      1.21086     0.472112    -0.561989
  5.93584e+09     0.472113    -0.567465   -0.0484397      1.22331   -0.0484397      1.22331     0.472113    -0.567465
   5.9958e+09     0.472114    -0.574853   -0.0498996      1.23575   -0.0498996      1.23575     0.472114    -0.574853
  6.05576e+09     0.472115    -0.580466   -0.0513685      1.24817   -0.0513685      1.24817     0.472115    -0.580466
  6.11572e+09     0.472116    -0.587769   -0.0528446      1.26057   -0.0528446      1.26057     0.472116    -0.587769
  6.17567e+09     0.472117    -0.589617   -0.0543046      1.27296   -0.0543046      1.27296     0.472117    -0.589617
  6.23563e+09     0.472118    -0.595794   -0.0557801      1.28534   -0.0557801      1.28534     0.472118    -0.595794
  6.29559e+09     0.472119    -0.602542   -0.0572238       1.2977   -0.0572238       1.2977     0.472119    -0.602542
  6.35555e+09      0.47212    -0.609863   -0.0586805      1.31005   -0.0586805      1.31005      0.47212    -0.609863
  6.41551e+09     0.472121    -0.616089   -0.0601152      1.32239   -0.0601152      1.32239     0.472121    -0.616089
  6.47546e+09     0.472122    -0.617763   -0.0615699      1.33471   -0.0615699      1.33471     0.472122    -0.617763
  6.53542e+09     0.472123    -0.624685   -0.0630079      1.34702   -0.0630079      1.34702     0.472123    -0.624685
  6.59538e+09     0.472124    -0.631754   -0.0644132      1.35933   -0.0644132      1.35933     0.472124    -0.631754
  6.65534e+09     0.472125    -0.637738    -0.065841      1.37163    -0.065841      1.37163     0.472125    -0.637738
   6.7153e+09     0.472126    -0.644141   -0.0672322      1.38392   -0.0672322      1.38392     0.472126    -0.644141
