#
# AEG Box Test Suite by I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin is 
# licensed under a Creative Commons Attribution 4.0 International License.
# Based on a work at https://bitbucket.org/uoyaeg/aegboxts.
#
# If you use or make derivatives of the test suite please attribute the original
# work to I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin, Applied
# Electromagnetics Group, Department of Electronics, University of York, UK.
#
#       f(Hz)      Re(S11)      Im(S11)      Re(S12)      Im(S12)      Re(S21)      Im(S21)      Re(S22)      Im(S22) 
   3.7174e+09    -0.997487  -0.00196375  -4.4595e-05   0.00398765  -4.4595e-05   0.00398765    -0.997487  -0.00196375
  3.77735e+09    -0.997487  -0.00198942 -4.78758e-05   0.00405556 -4.78758e-05   0.00405556    -0.997487  -0.00198942
  3.83731e+09    -0.997486  -0.00201754 -5.13793e-05   0.00412349 -5.13793e-05   0.00412349    -0.997486  -0.00201754
  3.89727e+09    -0.997486   -0.0020463 -5.50965e-05   0.00419145 -5.50965e-05   0.00419145    -0.997486   -0.0020463
  3.95723e+09    -0.997486  -0.00207402 -5.89964e-05   0.00425942 -5.89964e-05   0.00425942    -0.997486  -0.00207402
  4.01719e+09    -0.997485  -0.00210315 -6.30907e-05   0.00432741 -6.30907e-05   0.00432741    -0.997485  -0.00210315
  4.07714e+09    -0.997485  -0.00212745 -6.73824e-05   0.00439538 -6.73824e-05   0.00439538    -0.997485  -0.00212745
   4.1371e+09    -0.997485  -0.00215597 -7.18714e-05   0.00446338 -7.18714e-05   0.00446338    -0.997485  -0.00215597
  4.19706e+09    -0.997484  -0.00218427 -7.65682e-05   0.00453137 -7.65682e-05   0.00453137    -0.997484  -0.00218427
  4.25702e+09    -0.997484    -0.002213  -8.1421e-05   0.00459933  -8.1421e-05   0.00459933    -0.997484    -0.002213
  4.31698e+09    -0.997483  -0.00224141 -8.65134e-05   0.00466728 -8.65134e-05   0.00466728    -0.997483  -0.00224141
  4.37693e+09    -0.997483  -0.00226611 -9.17092e-05   0.00473521 -9.17092e-05   0.00473521    -0.997483  -0.00226611
  4.43689e+09    -0.997483  -0.00229099 -9.71024e-05   0.00480309 -9.71024e-05   0.00480309    -0.997483  -0.00229099
  4.49685e+09    -0.997482  -0.00232119  -0.00010273   0.00487095  -0.00010273   0.00487095    -0.997482  -0.00232119
  4.55681e+09    -0.997482  -0.00235635 -0.000108474   0.00493872 -0.000108474   0.00493872    -0.997482  -0.00235635
  4.61677e+09    -0.997481  -0.00238719 -0.000114423   0.00500649 -0.000114423   0.00500649    -0.997481  -0.00238719
  4.67672e+09    -0.997481  -0.00239975 -0.000120473   0.00507419 -0.000120473   0.00507419    -0.997481  -0.00239975
  4.73668e+09    -0.997481  -0.00243069 -0.000126751    0.0051418 -0.000126751    0.0051418    -0.997481  -0.00243069
  4.79664e+09     -0.99748  -0.00246135 -0.000133151   0.00520938 -0.000133151   0.00520938     -0.99748  -0.00246135
   4.8566e+09     -0.99748  -0.00249611 -0.000139763   0.00527688 -0.000139763   0.00527688     -0.99748  -0.00249611
  4.91656e+09    -0.997479  -0.00252705   -0.0001465   0.00534432   -0.0001465   0.00534432    -0.997479  -0.00252705
  4.97651e+09    -0.997479  -0.00253742 -0.000153244   0.00541166 -0.000153244   0.00541166    -0.997479  -0.00253742
  5.03647e+09    -0.997478  -0.00257341 -0.000160224   0.00547893 -0.000160224   0.00547893    -0.997478  -0.00257341
  5.09643e+09    -0.997478  -0.00260304 -0.000167328   0.00554614 -0.000167328   0.00554614    -0.997478  -0.00260304
  5.15639e+09    -0.997478   -0.0026354 -0.000174553   0.00561325 -0.000174553   0.00561325    -0.997478   -0.0026354
  5.21635e+09    -0.997477  -0.00266857   -0.0001819   0.00568028   -0.0001819   0.00568028    -0.997477  -0.00266857
   5.2763e+09    -0.997477  -0.00268088 -0.000189247   0.00574722 -0.000189247   0.00574722    -0.997477  -0.00268088
  5.33626e+09    -0.997476  -0.00271298 -0.000196835   0.00581405 -0.000196835   0.00581405    -0.997476  -0.00271298
  5.39622e+09    -0.997476  -0.00274707 -0.000204442   0.00588082 -0.000204442   0.00588082    -0.997476  -0.00274707
  5.45618e+09    -0.997475   -0.0027787 -0.000212167   0.00594746 -0.000212167   0.00594746    -0.997475   -0.0027787
  5.51614e+09    -0.997475  -0.00281475  -0.00022001   0.00601402  -0.00022001   0.00601402    -0.997475  -0.00281475
  5.57609e+09    -0.997474  -0.00282836 -0.000227736    0.0060805 -0.000227736    0.0060805    -0.997474  -0.00282836
  5.63605e+09    -0.997474  -0.00285871 -0.000235704   0.00614686 -0.000235704   0.00614686    -0.997474  -0.00285871
